image_id,image_path,model_id,step_id,view_angle,overall_error_type,is_composite_error,affected_part_ids,error_components,relation_type,expected_parts,observed_parts,annotation_status,reviewer,review_notes,source_evidence
model03_step03_missingpart-B01_top_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_top_01.jpg,model03,step03,top,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_top_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_top_02.jpg,model03,step03,top,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-A01_back_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_back_01.jpg,model03,step03,back,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_back_02.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_back_02.jpg,model03,step03,back,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_bottom_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_bottom_01.jpg,model03,step03,bottom,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_front_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_front_01.jpg,model03,step03,front,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_left_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_left_01.jpg,model03,step03,left,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_right_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_right_01.jpg,model03,step03,right,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_top_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_top_01.jpg,model03,step03,top,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-A01_top_02.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-A01_top_02.jpg,model03,step03,top,wrongpart,true,EYE_BALL,wrongpart;extrapart,composite,EYE_BALL,EYE_BALL,needs_second_review,,Possible wrong-eye arrangement plus extra eye; multiplicity must be reviewed,Team handoff and test/reference image comparison
model03_step03_wrongpart-B01_back_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_back_01.jpg,model03,step03,back,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_back_02.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_back_02.jpg,model03,step03,back,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_bottom_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_bottom_01.jpg,model03,step03,bottom,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_front_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_front_01.jpg,model03,step03,front,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_left_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_left_01.jpg,model03,step03,left,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_right_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_right_01.jpg,model03,step03,right,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_top_01.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_top_01.jpg,model03,step03,top,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step03_wrongpart-B01_top_02.jpg,input/wrongpart/model03_step03/model03_step03_wrongpart-B01_top_02.jpg,model03,step03,top,wrongpart,true,PIN_YELLOW;PIN_RED_SHORT,wrongpart,swap,PIN_YELLOW;PIN_RED_SHORT,PIN_YELLOW;PIN_RED_SHORT,confirmed,,Team-confirmed swap pair; verify per-view positions,Team handoff; reference image; expected state; part library
model03_step01_correct-01_back_01.jpg,input/normal/model03_step01/model03_step01_correct-01_back_01.jpg,model03,step01,back,correct,false,,correct,single,,,confirmed,,Correct control with no affected parts,Source directory; filename; reference image
